time,data,noise,global_outlier,constant
2023-08-26 00:19:30+00:00,3.824,False,False,False
2023-08-26 00:19:40+00:00,3.824,False,False,False
2023-08-26 00:19:50+00:00,3.879,False,False,False
2023-08-26 00:20:00+00:00,4.484,False,False,False
2023-08-26 00:20:10+00:00,4.484,False,False,False
2023-08-26 00:20:20+00:00,4.484,False,False,False
2023-08-26 00:20:30+00:00,2.115,False,False,False
2023-08-26 00:20:40+00:00,3.457,False,False,False
2023-08-26 00:20:50+00:00,3.457,False,False,False
2023-08-26 00:21:00+00:00,2.906,False,False,False
2023-08-26 00:21:10+00:00,2.906,False,False,False
2023-08-26 00:21:20+00:00,3.883,False,False,False
2023-08-26 00:21:30+00:00,3.883,False,False,False
2023-08-26 00:21:40+00:00,2.697,False,False,False
2023-08-26 00:21:50+00:00,2.697,False,False,False
2023-08-26 00:22:00+00:00,2.858,False,False,False
2023-08-26 00:22:10+00:00,3.259,False,False,False
2023-08-26 00:22:20+00:00,3.259,False,False,False
2023-08-26 00:22:30+00:00,3.648,False,False,False
2023-08-26 00:22:40+00:00,3.648,False,False,False
2023-08-26 00:22:50+00:00,3.633,False,False,False
2023-08-26 00:23:00+00:00,3.633,False,False,False
2023-08-26 00:23:10+00:00,2.86,False,False,False
2023-08-26 00:23:20+00:00,2.86,False,False,False
2023-08-26 00:23:30+00:00,4.701,False,False,False
2023-08-26 00:23:40+00:00,3.762,False,False,False
2023-08-26 00:23:50+00:00,3.762,False,False,False
2023-08-26 00:24:00+00:00,3.762,False,False,False
2023-08-26 00:24:10+00:00,4.432,False,False,False
2023-08-26 00:24:20+00:00,3.957,False,False,False
2023-08-26 00:24:30+00:00,3.957,False,False,False
2023-08-26 00:24:40+00:00,3.055,False,False,False
2023-08-26 00:24:50+00:00,3.055,False,False,False
2023-08-26 00:25:00+00:00,3.815,False,False,False
2023-08-26 00:25:10+00:00,3.815,False,False,False
2023-08-26 00:25:20+00:00,4.289,False,False,False
2023-08-26 00:25:30+00:00,4.289,False,False,False
2023-08-26 00:25:40+00:00,2.177,False,False,False
2023-08-26 00:25:50+00:00,3.35,False,False,False
2023-08-26 00:26:00+00:00,3.35,False,False,False
2023-08-26 00:26:10+00:00,4.252,False,False,False
2023-08-26 00:26:20+00:00,4.252,False,False,False
2023-08-26 00:26:30+00:00,3.847,False,False,False
2023-08-26 00:26:40+00:00,3.847,False,False,False
2023-08-26 00:26:50+00:00,2.154,False,False,False
2023-08-26 00:27:00+00:00,2.154,False,False,False
2023-08-26 00:27:10+00:00,3.959,False,False,False
